Y Chromosome	"Y Chromosome	0	12	GO_ontology"	"[{""token"": ""Y Chromosome"", ""start_span"": 0, ""end_span"": 12, ""type"": ""GO_ontology""}]"
Antibodies	"Antibodies	0	10	GO_ontology"	"[{""token"": ""Antibodies"", ""start_span"": 0, ""end_span"": 10, ""type"": ""GO_ontology""}]"
The paraffin - embedded sections were first treated three times for 2 min in xylene to remove paraffin and then rehydrated step by step with descending concentrations of ethanol for antibody staining [ 35].	"antibody	182	190	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 182, ""end_span"": 190, ""type"": ""GO_ontology""}]"
Incubation with the primary antibodies was performed at 4 degrees C overnight diluted in PBG supplemented with 1% NGS.	"antibodies	28	38	GO_ontology"	"[{""token"": ""antibodies"", ""start_span"": 28, ""end_span"": 38, ""type"": ""GO_ontology""}]"
After five washes in PBG for 5 min each, the slides were incubated for 1 h with the secondary antibody at room temperature, washed three times in PBG and three times in PBS, 5 min each, rinsed in water and embedded in gelvatol [ 36].	"antibody	94	102	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 94, ""end_span"": 102, ""type"": ""GO_ontology""}]"
For control, sections were incubated only with the secondary antibody or sections obtained from an annexin A7 knockout mouse were used [ 10].	"antibody	61	69	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 61, ""end_span"": 69, ""type"": ""GO_ontology""}]"
Immunostaining for Annexin A7 was performed using the monoclonal antibody mAb 203 - 217.	"antibody	65	73	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 65, ""end_span"": 73, ""type"": ""GO_ontology""}]"
Extraction of nuclear Annexin A7	"nuclear	14	21	GO_ontology"	"[{""token"": ""nuclear"", ""start_span"": 14, ""end_span"": 21, ""type"": ""GO_ontology""}]"
The resulting pellet contains purified nuclei.	"nuclei	39	45	GO_ontology"	"[{""token"": ""nuclei"", ""start_span"": 39, ""end_span"": 45, ""type"": ""GO_ontology""}]"
Then the solution was centrifuged for 15 minutes at 14. 000 g, the resulting supernatant was used as nucleoplasm, and the pellet was washed once and adjusted to an equal volume with PBS.	"nucleoplasm	101	112	GO_ontology"	"[{""token"": ""nucleoplasm"", ""start_span"": 101, ""end_span"": 112, ""type"": ""GO_ontology""}]"
Cells or cellular fractions were lysed in SDS sample buffer and homogenates were subjected to SDS - PAGE.	"cellular fractions	9	27	GO_ontology"	"[{""token"": ""cellular fractions"", ""start_span"": 9, ""end_span"": 27, ""type"": ""GO_ontology""}]"
Peroxidase - coupled secondary antibodies ( Sigma) and the supersignal enhanced chemiluminescence system ( Pierce, Rockford, IL, USA) were used.	"antibodies	31	41	GO_ontology"	"[{""token"": ""antibodies"", ""start_span"": 31, ""end_span"": 41, ""type"": ""GO_ontology""}]"
CH provided polyclonal anti - Annexin A7 antibodies and brain sections of the AnxA7 knock out mouse, and contributed to the analysis of data.	"antibodies	41	51	GO_ontology"	"[{""token"": ""antibodies"", ""start_span"": 41, ""end_span"": 51, ""type"": ""GO_ontology""}]"
We provide genetic evidence in the mouse that precocious ETS expression in DRG sensory neurons perturbs axonal projections, the acquisition of terminal differentiation markers, and their dependence on neurotrophic support.	"axonal projections	104	122	GO_ontology"	"[{""token"": ""axonal projections"", ""start_span"": 104, ""end_span"": 122, ""type"": ""GO_ontology""}]"
We find that within proprioceptive sensory neurons, the late onset of ETS signaling is essential for the establishment of normal sensory afferent projections in the spinal cord.	"projections	146	157	GO_ontology"	"[{""token"": ""projections"", ""start_span"": 146, ""end_span"": 157, ""type"": ""GO_ontology""}]"
EWS - Pea3 Can Replace Er81 Function in Controlling Ia Afferent Projections	"Projections	64	75	GO_ontology"	"[{""token"": ""Projections"", ""start_span"": 64, ""end_span"": 75, ""type"": ""GO_ontology""}]"
We first defined an ETS transcription regulator that is able to replace the function of Er81 within proprioceptive afferents to direct projections into the ventral spinal cord.	"projections	135	146	GO_ontology"	"[{""token"": ""projections"", ""start_span"": 135, ""end_span"": 146, ""type"": ""GO_ontology""}]"
Nevertheless, when introduced into the Er81 locus in analogy to a previously used targeting strategy ( data not shown; [ 14]), neither Pea3 nor Erm could rescue Ia proprioceptive afferent projections to extensively invade the ventral horn of the spinal cord ( data not shown).	"projections	188	199	GO_ontology"	"[{""token"": ""projections"", ""start_span"": 188, ""end_span"": 199, ""type"": ""GO_ontology""}]"
In addition, to analyze axon ingrowth independent of the level of PV expression in DRG neurons, we used anterograde labeling of afferent fibers by applying fluorescently labeled dextran to cut dorsal roots ( Figure 2D - 2F).	"axon	24	28	GO_ontology"	"[{""token"": ""axon"", ""start_span"": 24, ""end_span"": 28, ""type"": ""GO_ontology""}]"
Using both assays, we found extensive rescue of the projections into the ventral horn of the spinal cord in Er81EWS - Pea3 / - mice ( Figure 2C and 2F).	"projections	52	63	GO_ontology"	"[{""token"": ""projections"", ""start_span"": 52, ""end_span"": 63, ""type"": ""GO_ontology""}]"
Within the ventral horn, Ia afferents in both wild - type and Er81EWS - Pea3 / - mice formed vGlut1 + terminals that were absent in Er81 mutant mice ( Figure 2G - 2I).	"terminals	102	111	GO_ontology"	"[{""token"": ""terminals"", ""start_span"": 102, ""end_span"": 111, ""type"": ""GO_ontology""}]"
Together, these findings suggest that in the absence of Er81, EWS - Pea3 can direct the complex biological process of correct laminar termination within the ventral spinal cord and the formation of synapses with motor neurons ( Figure 2J - 2L), thus identifying an ETS transcription factor suitable for heterochronic expression experiments in DRG neurons.	"synapses	198	206	GO_ontology"	"[{""token"": ""synapses"", ""start_span"": 198, ""end_span"": 206, ""type"": ""GO_ontology""}]"
Precocious Expression of EWS - Pea3 in DRG Neurons Leads to Axonal Projection Defects	"Axonal Projection	60	77	GO_ontology"	"[{""token"": ""Axonal Projection"", ""start_span"": 60, ""end_span"": 77, ""type"": ""GO_ontology""}]"
We first assessed the influence of EWS - Pea3 expression in early post - mitotic DRG neurons on the establishment of afferent projections into the spinal cord using the TaumGFP / + allele or a Thy1 - promoter - driven synaptophysin green fluorescent protein ( spGFP) with an expression profile restricted to DRG sensory neurons at embryonic day ( E) 13. 5 ( Thy1spGFP; [ 25]) ( Figure 3).	"projections	126	137	GO_ontology"	"[{""token"": ""projections"", ""start_span"": 126, ""end_span"": 137, ""type"": ""GO_ontology""}]"
In contrast to wild - type proprioceptive afferent projections ( Figure 3A - 3C), GFP + sensory afferents in TauEWS - Pea3 / + Isl1Cre / + embryos failed to invade the spinal cord and instead were found in an extreme lateral position at the dorsal root entry zone, a phenotype observed at least up to E18. 5 ( Figure 3A - 3C and 3G - 3I; data not shown).	"projections	51	62	GO_ontology"	"[{""token"": ""projections"", ""start_span"": 51, ""end_span"": 62, ""type"": ""GO_ontology""}]"
We next visualized the path of sensory afferent projections towards the dorsal root entry zone in TauEWS - Pea3 / + Isl1Cre / + embryos by injecting fluorescently labeled dextran into an individual DRG ( L3; n = 3; Figure 3M - 3Q).	"projections	48	59	GO_ontology"	"[{""token"": ""projections"", ""start_span"": 48, ""end_span"": 59, ""type"": ""GO_ontology""}]"
While rostro - caudal projections were present in TauEWS - Pea3 / + Isl1Cre / + embryos, afferent fibers failed to approach the midline at distal segments and continued to occupy an extreme lateral position ( Figure 3O), consistent with the analysis of transverse sections.	"projections	22	33	GO_ontology"	"[{""token"": ""projections"", ""start_span"": 22, ""end_span"": 33, ""type"": ""GO_ontology""}]"
We next examined the establishment of peripheral projections upon precocious EWS - Pea3 expression in DRG neurons.	"projections	49	60	GO_ontology"	"[{""token"": ""projections"", ""start_span"": 49, ""end_span"": 60, ""type"": ""GO_ontology""}]"
Our data indicate that DRG neurons undergo a temporal change in their competence to respond to ETS transcription factor signaling, as assessed by changes in gene expression and axonal target invasion ( Figure 9).	"axonal	177	183	GO_ontology"	"[{""token"": ""axonal"", ""start_span"": 177, ""end_span"": 183, ""type"": ""GO_ontology""}]"
The absence of Trk receptor expression upon precocious induction of ETS signaling can only partially explain the observed phenotype in axonal projections.	"axonal projections	135	153	GO_ontology"	"[{""token"": ""axonal projections"", ""start_span"": 135, ""end_span"": 153, ""type"": ""GO_ontology""}]"
In the absence of NT - 3 signaling, development of central as well as peripheral proprioceptive afferent projections is perturbed [ 9].	"projections	105	116	GO_ontology"	"[{""token"": ""projections"", ""start_span"": 105, ""end_span"": 116, ""type"": ""GO_ontology""}]"
In contrast, upon precocious induction of ETS signaling, we found more pronounced defects in the establishment of central rather than peripheral projections for all DRG neurons.	"projections	145	156	GO_ontology"	"[{""token"": ""projections"", ""start_span"": 145, ""end_span"": 156, ""type"": ""GO_ontology""}]"
Induction of Er81 expression in proprioceptive afferents is controlled by peripheral NT - 3 as axons reach the vicinity of target muscles, and thus occurs only approximately 3 d after proprioceptive neurons become post - mitotic [ 9, 14].	"axons	95	100	GO_ontology"	"[{""token"": ""axons"", ""start_span"": 95, ""end_span"": 100, ""type"": ""GO_ontology""}]"
Mechanisms such as chromosomal remodeling that restrict or expand access to certain target genes [ 34] or activation by cofactors responsible for changing the action of particular transcription factors [ 35] could represent possible mechanisms by which the downstream transcriptional profile of a transcription factor could be temporally shifted towards the selection and control of distinct target genes.	"chromosomal	19	30	GO_ontology"	"[{""token"": ""chromosomal"", ""start_span"": 19, ""end_span"": 30, ""type"": ""GO_ontology""}]"
Moreover, the observed transcriptional shift in ETS signaling is paired with the onset of appropriate regulation of neuronal subtype specification and establishment of axonal projections into the target area.	"axonal projections	168	186	GO_ontology"	"[{""token"": ""axonal projections"", ""start_span"": 168, ""end_span"": 186, ""type"": ""GO_ontology""}]"
For anterograde tracing experiments to visualize projections of sensory neurons, rhodamine - conjugated dextran ( Molecular Probes) was injected into single lumbar ( L3) DRG at E13. 5 or applied to whole lumbar dorsal roots ( L3) at postnatal day ( P) 5 using glass capillaries.	"projections of sensory neurons	49	79	GO_ontology"	"[{""token"": ""projections of sensory neurons"", ""start_span"": 49, ""end_span"": 79, ""type"": ""GO_ontology""}]"
Cryostat sections were processed for immunohistochemistry as described [ 14] using fluorophore - conjugated secondary antibodies ( 1: 1, 000, Molecular Probes).	"antibodies	118	128	GO_ontology"	"[{""token"": ""antibodies"", ""start_span"": 118, ""end_span"": 128, ""type"": ""GO_ontology""}]"
Protein extracts were resolved by SDS - PAGE, and immunoblotting was performed using antibodies against Akt, p - Akt ( Ser473), CREB, p - CREB ( Ser133), Bax, Bcl - xl ( Cell Signaling Technology, Beverly, Massachusetts, United States), and Bcl2 ( BD Pharmingen, San Diego, California, United States).	"antibodies	85	95	GO_ontology"	"[{""token"": ""antibodies"", ""start_span"": 85, ""end_span"": 95, ""type"": ""GO_ontology""}]"
Briefly, intracellular recordings from identified quadriceps motor neurons were made using sharp electrodes ( 75 - 120 M Omega, 3M KCl).	"intracellular	9	22	GO_ontology"	"[{""token"": ""intracellular"", ""start_span"": 9, ""end_span"": 22, ""type"": ""GO_ontology""}]"
( A and B) Representative traces from intracellular recordings measuring Ia afferent monosynaptic input to quadriceps motor neurons evoked by suprathreshold stimulation of the quadriceps nerve in wild - type ( A) and Er81EWS - Pea3 / - mutant ( B) animals.	"intracellular	38	51	GO_ontology"	"[{""token"": ""intracellular"", ""start_span"": 38, ""end_span"": 51, ""type"": ""GO_ontology""}]"
We thank Jean - Francois Spetz, Patrick Kopp, Bernard Kuchemann, and Monika Mielich for excellent technical assistance, Ina Kramer for providing Runx3 antibodies, Pico Caroni for providing mGFP cDNA, John A. Hassell for providing EWS - Pea3 cDNA and fruitful discussions on ETS gene function, and Y.	"antibodies	151	161	GO_ontology"	"[{""token"": ""antibodies"", ""start_span"": 151, ""end_span"": 161, ""type"": ""GO_ontology""}]"
mGFP - membrane - targeted green fluorescent protein	"membrane	7	15	GO_ontology"	"[{""token"": ""membrane"", ""start_span"": 7, ""end_span"": 15, ""type"": ""GO_ontology""}]"
Rescue of Ia Proprioceptive Afferent Projections into the Ventral Spinal Cord in Er81EWS - Pea3 Mutants	"Projections	37	48	GO_ontology"	"[{""token"": ""Projections"", ""start_span"": 37, ""end_span"": 48, ""type"": ""GO_ontology""}]"
( A - F) Morphological analysis of central projections at lumbar level L3 of PV + DRG neurons ( A - C) or all DRG sensory afferents after application of fluorescently labeled dextran to individual dorsal roots ( D - F) in P0. 5 ( A - C) or P5 ( D - F) wild - type ( A and D), Er81 - / - ( B and E), and Er81EWS - Pea3 / - ( C and F) mice.	"projections	43	54	GO_ontology"	"[{""token"": ""projections"", ""start_span"": 43, ""end_span"": 54, ""type"": ""GO_ontology""}]"
( J - L) Schematic summary diagrams of the morphological rescue of Ia proprioceptive afferent projections ( blue) into the ventral spinal cord observed in wild - type ( J), Er81 - / - ( K), and Er81EWS - Pea3 / - ( L) mice.	"projections	94	105	GO_ontology"	"[{""token"": ""projections"", ""start_span"": 94, ""end_span"": 105, ""type"": ""GO_ontology""}]"
Defects in the Establishment of Sensory Afferent Projections upon Precocious Expression of EWS - Pea3 in DRG Neurons	"Projections	49	60	GO_ontology"	"[{""token"": ""Projections"", ""start_span"": 49, ""end_span"": 60, ""type"": ""GO_ontology""}]"
( A - C and G - I) Visualization of sensory afferent projections ( green) into the spinal cord of wild - type ( A - C) and TauEWS - Pea3 / + Isl1Cre / + ( G - I) embryos at E13. 5 ( A, C, G, and I) and E16. 5 ( B and H) by Cre - recombinase - mediated activation of mGFP expression from the Tau locus ( A, B, G, and H) or by a Thy1spGFP transgene ( C and I; [ 25]).	"projections	53	64	GO_ontology"	"[{""token"": ""projections"", ""start_span"": 53, ""end_span"": 64, ""type"": ""GO_ontology""}]"
Grey arrows indicate normal pattern of afferent projections into the spinal cord, whereas red arrows show aberrant accumulation of sensory afferents at the lateral edge of the spinal cord in TauEWS - Pea3 / + Isl1Cre / + embryos.	"projections	48	59	GO_ontology"	"[{""token"": ""projections"", ""start_span"": 48, ""end_span"": 59, ""type"": ""GO_ontology""}]"
( D - F and J - L) Analysis of sensory afferent projections ( green) into the skin ( D and J) or muscle ( E and K; red, alpha - Bungarotoxin, BTX) of wild - type ( D - F) and TauEWS - Pea3 / + Isl1Cre / + ( J - L) embryos at E16. 5 by Cre - recombinase - mediated activation of mGFP ( D, E, J, and K) expression from the Tau locus.	"projections	48	59	GO_ontology"	"[{""token"": ""projections"", ""start_span"": 48, ""end_span"": 59, ""type"": ""GO_ontology""}]"
( M - Q) Analysis of bifurcation of sensory afferent projections towards the spinal cord in E13. 5 wild - type ( M) and TauEWS - Pea3 / + Isl1Cre / + ( O and Q) embryos after injection of fluorescently labeled dextran ( green) into one DRG ( lumbar level L3).	"projections	53	64	GO_ontology"	"[{""token"": ""projections"", ""start_span"": 53, ""end_span"": 64, ""type"": ""GO_ontology""}]"
Inset in ( O) is also shown at a deeper confocal scanning plane ( P and Q) to visualize aberrant axonal projections.	"axonal projections	97	115	GO_ontology"	"[{""token"": ""axonal projections"", ""start_span"": 97, ""end_span"": 115, ""type"": ""GO_ontology""}]"
( O) Western blot analysis of protein extracts isolated from lumbar DRG of E16. 5 wild - type ( wt) and TauEWS - Pea3 / + Isl1Cre / + ( mut) embryos using the following antibodies: Akt, p - Akt ( Ser473), CREB, p - CREB ( Ser133), Bax, Bcl2, and Bcl - xl.	"antibodies	169	179	GO_ontology"	"[{""token"": ""antibodies"", ""start_span"": 169, ""end_span"": 179, ""type"": ""GO_ontology""}]"
In contrast, precocious ETS signaling leads to severe defects in the establishment of DRG neuronal projections accompanied by inappropriate gene expression changes ( C; upregulation of CR ( red) and downregulation of TrkC [ grey]).	"neuronal projections	90	110	GO_ontology"	"[{""token"": ""neuronal projections"", ""start_span"": 90, ""end_span"": 110, ""type"": ""GO_ontology""}]"
ADAM ( A Disintegrin And Metalloprotease) is a family of membrane - spanning multi - domain proteins containing a metalloproteinase - like domain and a disintegrin - like domain.	"membrane	57	65	GO_ontology"	"[{""token"": ""membrane"", ""start_span"": 57, ""end_span"": 65, ""type"": ""GO_ontology""}]"
More than 10 ADAMs have been shown to support integrin - mediated cell adhesion in vitro [ 9].	"integrin	46	54	GO_ontology"	"[{""token"": ""integrin"", ""start_span"": 46, ""end_span"": 54, ""type"": ""GO_ontology""}]"
It has been reported that ADAM23 protein is localised to the cell surface [ 16], interacts with alpha - v beta - 3 integrin heterodimer [ 17] and the disruption of ADAM23 gene in the mouse results in premature death associated with ataxia and tremor [ 18].	"cell surface	61	73	GO_ontology"	"[{""token"": ""cell surface"", ""start_span"": 61, ""end_span"": 73, ""type"": ""GO_ontology""}]"
Although the cause of death in this mouse is unknown, for these phenotypes, impaired cell - cell or cell - matrix interactions in the nervous system caused by loss of ADAM23 may be responsible.	"matrix	107	113	GO_ontology"	"[{""token"": ""matrix"", ""start_span"": 107, ""end_span"": 113, ""type"": ""GO_ontology""}]"
ADAM22 and ADAM23 share highly homologous sequences in their extracellular domains.	"extracellular	61	74	GO_ontology"	"[{""token"": ""extracellular"", ""start_span"": 61, ""end_span"": 74, ""type"": ""GO_ontology""}]"
Especially, it is evident in their putative integrin binding loop sequences, CR ( E / D) AVN ( E / D) CD, which is located centre of the disintegrin domain.	"integrin	44	52	GO_ontology"	"[{""token"": ""integrin"", ""start_span"": 44, ""end_span"": 52, ""type"": ""GO_ontology""}]"
These findings led us to hypothesize that ADAM22 is an integrin binder and plays an important role in the nervous system, as does ADAM23.	"integrin	55	63	GO_ontology"	"[{""token"": ""integrin"", ""start_span"": 55, ""end_span"": 63, ""type"": ""GO_ontology""}]"
Myelin - formation detected by MBP ( myelin basic protein) staining of the mutant in the cerebellum ( Fig. 4H) and spinal cord ( Fig. 4L) was also indistinguishable with the wild - type littermate ( Figs. 4G, K).	"Myelin	0	6	GO_ontology"	"[{""token"": ""Myelin"", ""start_span"": 0, ""end_span"": 6, ""type"": ""GO_ontology""}]"
Next, the spinal cord and peripheral nerves of each genotype were analysed by toluidine blue stain, which reveals myelin formation.	"myelin	114	120	GO_ontology"	"[{""token"": ""myelin"", ""start_span"": 114, ""end_span"": 120, ""type"": ""GO_ontology""}]"
To analyse the state of myelinating Schwann cells and axons, electron microscopic ( EM) analysis of the sciatic nerve was performed ( Fig. 6).	"axons	54	59	GO_ontology"	"[{""token"": ""axons"", ""start_span"": 54, ""end_span"": 59, ""type"": ""GO_ontology""}]"
Schwann cells formed thin or no myelin in the homozygous mutant ( Fig. 6B).	"myelin	32	38	GO_ontology"	"[{""token"": ""myelin"", ""start_span"": 32, ""end_span"": 38, ""type"": ""GO_ontology""}]"
Morphology of the axons looked normal in each genotype.	"axons	18	23	GO_ontology"	"[{""token"": ""axons"", ""start_span"": 18, ""end_span"": 23, ""type"": ""GO_ontology""}]"
Immunohistochemical analysis of the sciatic nerve showed that increased number of nuclei ( Fig. 7B) and reduced staining of MBP ( Fig. 7D) were remarkable in the homozygous mutant.	"nuclei	82	88	GO_ontology"	"[{""token"": ""nuclei"", ""start_span"": 82, ""end_span"": 88, ""type"": ""GO_ontology""}]"
For example, the myelin - deficient ( MD) rat, which carries a point mutation in the proteolipid protein ( PLP) gene, exhibits ataxia, tremor, dysmyelination and dies at approximately postnatal day 21.	"myelin	17	23	GO_ontology"	"[{""token"": ""myelin"", ""start_span"": 17, ""end_span"": 23, ""type"": ""GO_ontology""}]"
However, myelin formation in the spinal cord and the brain was normal.	"myelin	9	15	GO_ontology"	"[{""token"": ""myelin"", ""start_span"": 9, ""end_span"": 15, ""type"": ""GO_ontology""}]"
Higher pro - myelinating Schwann cell density and marked delay in myelin formation indicate that ADAM22 plays an important role in Schwann cell differentiation, but not in proliferation.	"myelin	13	19	GO_ontology"	"[{""token"": ""myelin"", ""start_span"": 13, ""end_span"": 19, ""type"": ""GO_ontology""}]"
Investigations on why hypomyelinogenesis occurred in ADAM22 - deficient mice centre on integrin.	"integrin	87	95	GO_ontology"	"[{""token"": ""integrin"", ""start_span"": 87, ""end_span"": 95, ""type"": ""GO_ontology""}]"
In contrast, the phenotype seen in the ADAM22 - deficient mice was quite different: for example, unsorted bundles of axons were not seen in nerves and roots.	"axons	117	122	GO_ontology"	"[{""token"": ""axons"", ""start_span"": 117, ""end_span"": 122, ""type"": ""GO_ontology""}]"
It is assigned on 7q21, where several chromosomal aberrations that are accompanied by neurological disorders have been identified [ 29, 30].	"chromosomal	38	49	GO_ontology"	"[{""token"": ""chromosomal"", ""start_span"": 38, ""end_span"": 49, ""type"": ""GO_ontology""}]"
Antibody production	"Antibody	0	8	GO_ontology"	"[{""token"": ""Antibody"", ""start_span"": 0, ""end_span"": 8, ""type"": ""GO_ontology""}]"
His - tagged and MBP - fused recombinant protein containing cytoplasmic domain ( cp) of human ADAM22 isoform 1 ( position: 756 - 906, 151 amino acids in length) were produced in E. coli.	"cytoplasmic	60	71	GO_ontology"	"[{""token"": ""cytoplasmic"", ""start_span"": 60, ""end_span"": 71, ""type"": ""GO_ontology""}]"
Using the affinity purified antibody, both human and mouse ADAM22 proteins were detected by Western blot analysis.	"antibody	28	36	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 28, ""end_span"": 36, ""type"": ""GO_ontology""}]"
However, unfortunately the antibody was not suitable for immunohistochemical analysis of mouse tissues.	"antibody	27	35	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 27, ""end_span"": 35, ""type"": ""GO_ontology""}]"
Dissociated cells were resuspended in the pre - treatment medium and plated on Poly - D - Lysine / Laminin coated plate ( BD Biosciences).	"Laminin	99	106	GO_ontology"	"[{""token"": ""Laminin"", ""start_span"": 99, ""end_span"": 106, ""type"": ""GO_ontology""}]"
The following antibodies were incubated overnight in 0. 1% BLOCKACE at 4 degrees C:	"antibodies	14	24	GO_ontology"	"[{""token"": ""antibodies"", ""start_span"": 14, ""end_span"": 24, ""type"": ""GO_ontology""}]"
Nuclei were counterstained with 1 mu g / ml DAPI ( Sigma).	"Nuclei	0	6	GO_ontology"	"[{""token"": ""Nuclei"", ""start_span"": 0, ""end_span"": 6, ""type"": ""GO_ontology""}]"
Sections were incubated for 1 hour with secondary antibodies: Cy3 - labeled donkey anti - rabbit IgG ( Jackson Immuno Research, 1: 200), FITC - labelled donkey anti - mouse IgG ( Jackson Immuno Research, 1: 200).	"antibodies	50	60	GO_ontology"	"[{""token"": ""antibodies"", ""start_span"": 50, ""end_span"": 60, ""type"": ""GO_ontology""}]"
KS is leading this project, and performed cDNA cloning, plasmid construction, antibody production, immunohistochemical study, and wrote the manuscript.	"antibody	78	86	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 78, ""end_span"": 86, ""type"": ""GO_ontology""}]"
Hippocampal neurons were stained by anti - Neu N antibody ( I and J).	"antibody	49	57	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 49, ""end_span"": 57, ""type"": ""GO_ontology""}]"
Spinal myelin was analysed by MBP staining ( K and L).	"myelin	7	13	GO_ontology"	"[{""token"": ""myelin"", ""start_span"": 7, ""end_span"": 13, ""type"": ""GO_ontology""}]"
The axons looked normal in each genotype.	"axons	4	9	GO_ontology"	"[{""token"": ""axons"", ""start_span"": 4, ""end_span"": 9, ""type"": ""GO_ontology""}]"
Potential genetic modifiers of the cystic fibrosis intestinal inflammatory phenotype on mouse chromosomes 1, 9, and 10	"chromosomes	94	105	GO_ontology"	"[{""token"": ""chromosomes"", ""start_span"": 94, ""end_span"": 105, ""type"": ""GO_ontology""}]"
Muclin ( also known as dmbt1, [ 30]) expression is upregulated in the B6 CF intestine; it is a cell surface glycoprotein postulated to be an epithelial protective molecule [ 21, 31].	"cell surface	95	107	GO_ontology"	"[{""token"": ""cell surface"", ""start_span"": 95, ""end_span"": 107, ""type"": ""GO_ontology""}]"
All twelve mice had both B6 and 129 markers on chromosome 6, 1 cM which is probably due to the targeted Cftr gene which is at chr. 6, 3. 1 cM [ 36].	"chromosome	47	57	GO_ontology"	"[{""token"": ""chromosome"", ""start_span"": 47, ""end_span"": 57, ""type"": ""GO_ontology""}]"
The markers are spaced 12 - 13 cM apart and span the nineteen autosomes.	"autosomes	62	71	GO_ontology"	"[{""token"": ""autosomes"", ""start_span"": 62, ""end_span"": 71, ""type"": ""GO_ontology""}]"
The genes that encode T2Rs, the Tas2rs, were first identified by database mining of mammalian genomes near chromosomal markers previously linked to differences in bitter taste sensitivity [ 9, 11 - 18].	"chromosomal	107	118	GO_ontology"	"[{""token"": ""chromosomal"", ""start_span"": 107, ""end_span"": 118, ""type"": ""GO_ontology""}]"
In mice, the majority of Tas2rs lie within a single cluster on distal chromosome 6.	"chromosome	70	80	GO_ontology"	"[{""token"": ""chromosome"", ""start_span"": 70, ""end_span"": 80, ""type"": ""GO_ontology""}]"
Each of these QTL map to mouse distal chromosome 6 and are linked to the marker D6Mit13, which lies within a cluster of 24 intact Tas2rs in the C57BL / 6 genome ( e. g., [ 16, 27, 28]).	"chromosome	38	48	GO_ontology"	"[{""token"": ""chromosome"", ""start_span"": 38, ""end_span"": 48, ""type"": ""GO_ontology""}]"
First, the density of chromosomal markers and number of recombinant inbred ( RI) strains used in these earlier studies did not permit the physical definition of the intervals containing each QTL.	"chromosomal	22	33	GO_ontology"	"[{""token"": ""chromosomal"", ""start_span"": 22, ""end_span"": 33, ""type"": ""GO_ontology""}]"
Quinine may directly activate G proteins, and both quinine and denatonium can block K + channels [ 31 - 36]; caffeine, another bitter - tasting substance, directly inhibits intracellular phosphodiesterase [ 33].	"intracellular	173	186	GO_ontology"	"[{""token"": ""intracellular"", ""start_span"": 173, ""end_span"": 186, ""type"": ""GO_ontology""}]"
Using 17 BXD lines that were genotyped at 762 informative chromosomal markers, we mapped a major QTL for QHCl taste to a ~ 5 Mb interval on distal chromosome 6 that contains all 24 of the Tas2r genes in the distal cluster.	"chromosomal	58	69	GO_ontology"	"[{""token"": ""chromosomal"", ""start_span"": 58, ""end_span"": 69, ""type"": ""GO_ontology""}]"
"No significant QTLs were identified for DB taste sensitivity, although several associations with markers on chromosomes 2, 8 and 12 were "" suggestive "" ( LRS > 9. 4, genome - wide p = 0. 65; see Additional File 1)."	"chromosomes	108	119	GO_ontology"	"[{""token"": ""chromosomes"", ""start_span"": 108, ""end_span"": 119, ""type"": ""GO_ontology""}]"
A major QTL for QHCl taste on mouse chromosome 6.	"chromosome	36	46	GO_ontology"	"[{""token"": ""chromosome"", ""start_span"": 36, ""end_span"": 46, ""type"": ""GO_ontology""}]"
The chromosome 6 QTL was linked to a single marker, D6Mit13 ( Table 2, Figure 3).	"chromosome	4	14	GO_ontology"	"[{""token"": ""chromosome"", ""start_span"": 4, ""end_span"": 14, ""type"": ""GO_ontology""}]"
Based on these marker positions, the size of the QHCl chromosome 6 QTL is less than 5. 0 Mb ( Figure 3).	"chromosome	54	64	GO_ontology"	"[{""token"": ""chromosome"", ""start_span"": 54, ""end_span"": 64, ""type"": ""GO_ontology""}]"
The QHCl QTL is linked to a single marker on chromosome 6.	"chromosome	45	55	GO_ontology"	"[{""token"": ""chromosome"", ""start_span"": 45, ""end_span"": 55, ""type"": ""GO_ontology""}]"
( A) As shown in the interval map for chromosome 6, the trait value ( lick ratio for 1 mM QHCl) correlates strongly across BXD RI strains with the polymorphic marker D6Mit13 ( bold).	"chromosome	38	48	GO_ontology"	"[{""token"": ""chromosome"", ""start_span"": 38, ""end_span"": 48, ""type"": ""GO_ontology""}]"
A map of the distal chromosome 6 Tas2r cluster.	"chromosome	20	30	GO_ontology"	"[{""token"": ""chromosome"", ""start_span"": 20, ""end_span"": 30, ""type"": ""GO_ontology""}]"
Twenty - four intact Tas2r genes map to distal chromosome 6 ( black).	"chromosome	47	57	GO_ontology"	"[{""token"": ""chromosome"", ""start_span"": 47, ""end_span"": 57, ""type"": ""GO_ontology""}]"
